"","title","amount","namedep","transaction","view","city","date","page"
"239","
                      I Paid Rs. 300 to Municipal Services in Chandigarh.
                    ","Paid INR 300
                        ","Municipal Services","Birth Certificate","177 views","Chandigarh
                      , Chandigarh","October 21, 2015",24
"240","
                      I Paid Rs. 8 to Stamps and Registration in Abhayapuri.
                    ","Paid INR 8
                        ","Stamps and Registration","Registration of Flat or Apartment","242 views","Abhayapuri
                      , Assam","October 21, 2015",24
"241","
                      I Paid Rs. 5 to Others in Kurnool.
                    ","Paid INR 5
                        ","Others","Others","199 views","Kurnool
                      , Andhra Pradesh","October 21, 2015",25
"242","
                      I Paid Rs. 100 to Others in Jaipur.
                    ","Paid INR 100
                        ","Others","Others","179 views","Jaipur
                      , Rajasthan","October 21, 2015",25
"243","
                      I Paid Rs. 876776 to Police in Agra.
                    ","Paid INR 8,76,776
                        ","Police","Police Harassment","223 views","Agra
                      , Uttar Pradesh","October 21, 2015",25
"244","
                      I Paid Rs. 5000 to Others in Aligarh.
                    ","Paid INR 5,000
                        ","Others","Others","158 views","Aligarh
                      , Uttar Pradesh","October 21, 2015",25
"245","
                      I Paid Rs. 123 to Transport in Adityapur.
                    ","Paid INR 123
                        ","Transport","New Domestic Driving License","186 views","Adityapur
                      , Jharkhand","October 21, 2015",25
"246","
                      I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Abohar.
                    ","Paid INR 100
                        ","Commercial Tax, Sales Tax, VAT","C Form","202 views","Abohar
                      , Punjab","October 21, 2015",25
"247","
                      100 rs for an FIR copy
                    ","Paid INR 100
                        ","Police","Filing FIR","208 views","Imphal
                      , Manipur","October 21, 2015",25
"248","
                      I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in Achhnera.
                    ","Paid INR 1,000
                        ","Commercial Tax, Sales Tax, VAT","C Form","182 views","Achhnera
                      , Uttar Pradesh","October 21, 2015",25
"249","
                      I Paid Rs. 200 to Municipal Services in Pratapgarh.
                    ","Paid INR 200
                        ","Municipal Services","Birth Certificate","139 views","Pratapgarh
                      , Tripura","October 21, 2015",25
"250","
                      I Paid Rs. 1000 to Police in Ahmedabad.
                    ","Paid INR 1,000
                        ","Police","Traffic Violations","160 views","Ahmedabad
                      , Gujarat","October 21, 2015",25
"251","
                      I Paid Rs. 700 to Municipal Services in Chennai.
                    ","Paid INR 700
                        ","Municipal Services","Birth Certificate","135 views","Chennai
                      , Tamil Nadu","October 21, 2015",26
"252","
                      I Paid Rs. 30000 to Municipal Services in Dhanbad.
                    ","Paid INR 30,000
                        ","Municipal Services","Birth Certificate","166 views","Dhanbad
                      , Jharkhand","October 21, 2015",26
"253","
                      I Paid Rs. 100 to Municipal Services in Durgapur.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","150 views","Durgapur
                      , West Bengal","October 21, 2015",26
"254","
                      I Paid Rs. 100 to Customs, Excise and Service Tax in Basti.
                    ","Paid INR 100
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","171 views","Basti
                      , Uttar Pradesh","October 21, 2015",26
"255","
                      I Paid Rs. 9000 to Others in Hyderabad.
                    ","Paid INR 9,000
                        ","Others","Others","168 views","Hyderabad
                      , Telangana","October 20, 2015",26
"256","
                      I Paid Rs. 5000 to Municipal Services in Mumbai.
                    ","Paid INR 5,000
                        ","Municipal Services","Birth Certificate","156 views","Mumbai
                      , Maharashtra","October 20, 2015",26
"257","
                      I Paid Rs. 44 to  in .
                    ","Paid INR 44
                        ","","","204 views","
                      , ","October 20, 2015",26
"258","
                      I Paid Rs. 100 to Railways in Bina.
                    ","Paid INR 100
                        ","Railways","Transport of Goods","195 views","Bina
                      , Madhya Pradesh","October 20, 2015",26
"259","
                      For the Birth Certificate of My Daughter
                    ","Paid INR 300
                        ","Municipal Services","Birth Certificate","224 views","Bangalore
                      , Karnataka","October 20, 2015",26
"260","
                      For Wrong Parking of Two Wheeler
                    ","Paid INR 300
                        ","Police","Traffic Violations","235 views","Bangalore
                      , Karnataka","October 20, 2015",26
"261","
                      Have to pay the bribe even after having right documents
                    ","Paid INR 500
                        ","Transport","Duplicate Driving License","209 views","Jaipur
                      , Rajasthan","October 20, 2015",27
"262","
                      I Paid Rs. 200 to Municipal Services in Udaipur.
                    ","Paid INR 200
                        ","Municipal Services","Birth Certificate","164 views","Udaipur
                      , Tripura","October 20, 2015",27
"263","
                      I Paid Rs. 200 to Municipal Services in Mumbai.
                    ","Paid INR 200
                        ","Municipal Services","Birth Certificate","179 views","Mumbai
                      , Maharashtra","October 20, 2015",27
"264","
                      Paid Bribe for filing ER 1 Return and for other certificate
                    ","Paid INR 34,000
                        ","Customs, Excise and Service Tax","Excise Return","268 views","Bangalore
                      , Karnataka","October 20, 2015",27
"265","
                      I Paid Rs. 500 to Transport in Abohar.
                    ","Paid INR 500
                        ","Transport","New Domestic Driving License","225 views","Abohar
                      , Punjab","October 20, 2015",27
"266","
                      I Paid Rs. 500 to Municipal Services in Bharatpur.
                    ","Paid INR 500
                        ","Municipal Services","Birth Certificate","164 views","Bharatpur
                      , Rajasthan","October 20, 2015",27
"267","
                      I Paid Rs. 3500 to Passport in Bangalore.
                    ","Paid INR 3,500
                        ","Passport","Police Verification for Passport","374 views","Bangalore
                      , Karnataka","October 19, 2015",27
"268","
                      I Paid Rs. 12000 to Municipal Services in Ludhiana.
                    ","Paid INR 12,000
                        ","Municipal Services","Birth Certificate","233 views","Ludhiana
                      , Punjab","October 19, 2015",27
"269","
                      I Paid Rs. 4000 to Transport in Adari.
                    ","Paid INR 4,000
                        ","Transport","Registration of Vehicle","222 views","Adari
                      , Uttar Pradesh","October 19, 2015",27
"270","
                      I Paid Rs. 15000 to Others in New Delhi.
                    ","Paid INR 15,000
                        ","Others","Others","256 views","New Delhi
                      , Delhi","October 19, 2015",27
"271","
                      I Paid Rs. 100 to Municipal Services in New Delhi.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","237 views","New Delhi
                      , Delhi","October 19, 2015",28
"272","
                      I Paid Rs. 54 to Income Tax in Faizabad.
                    ","Paid INR 54
                        ","Income Tax","New PAN Card","221 views","Faizabad
                      , Uttar Pradesh","October 19, 2015",28
"273","
                      I Paid Rs. 3500 to Municipal Services in Lucknow.
                    ","Paid INR 3,500
                        ","Municipal Services","Birth Certificate","213 views","Lucknow
                      , Uttar Pradesh","October 19, 2015",28
"274","
                      I Paid Rs. 100 to Municipal Services in Dharmapuri.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","203 views","Dharmapuri
                      , Tamil Nadu","October 19, 2015",28
"275","
                      I Paid Rs. 2525 to Commercial Tax, Sales Tax, VAT in Abhayapuri.
                    ","Paid INR 2,525
                        ","Commercial Tax, Sales Tax, VAT","C Form","211 views","Abhayapuri
                      , Assam","October 19, 2015",28
"276","
                      I Paid Rs. 200 to Municipal Services in Abohar.
                    ","Paid INR 200
                        ","Municipal Services","Birth Certificate","191 views","Abohar
                      , Punjab","October 19, 2015",28
"277","
                      I Paid Rs. 2500 to Municipal Services in Pune.
                    ","Paid INR 2,500
                        ","Municipal Services","Birth Certificate","251 views","Pune
                      , Maharashtra","October 18, 2015",28
"278","
                      I Paid Rs. 10 to Others in Chennai.
                    ","Paid INR 10
                        ","Others","Others","252 views","Chennai
                      , Tamil Nadu","October 18, 2015",28
"279","
                      I Paid Rs. 100 to Food, Civil Supplies and Consumer Affairs in Abhayapuri.
                    ","Paid INR 100
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","272 views","Abhayapuri
                      , Assam","October 18, 2015",28
"280","
                      I Paid Rs. 100 to Others in Chennai.
                    ","Paid INR 100
                        ","Others","Others","240 views","Chennai
                      , Tamil Nadu","October 18, 2015",28
"281","
                      I Paid Rs. 700 to Municipal Services in Abhayapuri.
                    ","Paid INR 700
                        ","Municipal Services","Birth Certificate","273 views","Abhayapuri
                      , Assam","October 18, 2015",29
"282","
                      I Paid Rs. 1000 to Others in Bangalore.
                    ","Paid INR 1,000
                        ","Others","Others","293 views","Bangalore
                      , Karnataka","October 18, 2015",29
"283","
                      I Paid Rs. 6000 to Municipal Services in Pune.
                    ","Paid INR 6,000
                        ","Municipal Services","Birth Certificate","246 views","Pune
                      , Maharashtra","October 18, 2015",29
"284","
                      I Paid Rs. 19 to Municipal Services in Ludhiana.
                    ","Paid INR 19
                        ","Municipal Services","Birth Certificate","217 views","Ludhiana
                      , Punjab","October 18, 2015",29
"285","
                      I paid bribe for Katha Transfer BBMP
                    ","Paid INR 15,000
                        ","Revenue","Residence Certificate","291 views","Bangalore
                      , Karnataka","October 18, 2015",29
"286","
                      Name of the officer = sandipan guha date of incident = 7th sep 2015…
                    ","Paid INR 10,000
                        ","Police","Filing FIR","474 views","Barrackpur
                      , West Bengal","October 17, 2015",29
"287","
                      I Paid Rs. 100 to Municipal Services in Adari.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","219 views","Adari
                      , Uttar Pradesh","October 17, 2015",29
"288","
                      Paid Bribe for Getting Stipend in M.Tech  during my studies- Andhra University
                    ","Paid INR 5,000
                        ","Education","Obtaining Scholarship","263 views","Visakhapatnam
                      , Andhra Pradesh","October 17, 2015",29
"289","
                      I Paid Rs. 441 to Commercial Tax, Sales Tax, VAT in Adari.
                    ","Paid INR 441
                        ","Commercial Tax, Sales Tax, VAT","C Form","260 views","Adari
                      , Uttar Pradesh","October 17, 2015",29
"290","
                      I Paid Rs. 10000 to Others in Mumbai.
                    ","Paid INR 10,000
                        ","Others","Others","257 views","Mumbai
                      , Maharashtra","October 17, 2015",29
"291","
                      I Paid Rs. 25000 to Police in Adari.
                    ","Paid INR 25,000
                        ","Police","Filing FIR","305 views","Adari
                      , Uttar Pradesh","October 17, 2015",30
"292","
                      I Paid Rs. 4300 to Municipal Services in Bhuj.
                    ","Paid INR 4,300
                        ","Municipal Services","Birth Certificate","242 views","Bhuj
                      , Gujarat","October 17, 2015",30
"293","
                      I Paid Rs. 15 to Income Tax in New Delhi.
                    ","Paid INR 15
                        ","Income Tax","New PAN Card","251 views","New Delhi
                      , Delhi","October 17, 2015",30
"294","
                      I Paid Rs. 200 to Income Tax in Mumbai.
                    ","Paid INR 200
                        ","Income Tax","New PAN Card","218 views","Mumbai
                      , Maharashtra","October 17, 2015",30
"295","
                      I Paid Rs. 1000 to Municipal Services in Abhayapuri.
                    ","Paid INR 1,000
                        ","Municipal Services","Birth Certificate","206 views","Abhayapuri
                      , Assam","October 17, 2015",30
"296","
                      Property Tax Collector takes bribe but issues remain pending.
                    ","Paid INR 7,000
                        ","Municipal Services","Property Tax","202 views","Chennai
                      , Tamil Nadu","October 16, 2015",30
"297","
                      I Paid Rs. 2000000 to Income Tax in Mumbai.
                    ","Paid INR 20,00,000
                        ","Income Tax","New PAN Card","208 views","Mumbai
                      , Maharashtra","October 16, 2015",30
"298","
                      I Paid Rs. 200 to Police in Kakinada.
                    ","Paid INR 200
                        ","Police","Police Clearance Certificate","247 views","Kakinada
                      , Andhra Pradesh","October 16, 2015",30
"299","
                      Corrupt loafers of DEO office madurai
                    ","Paid INR 1,000
                        ","Education","School or College Related Activities","230 views","Madurai
                      , Tamil Nadu","October 16, 2015",30
"300","
                      I Paid Rs. 1000 to Municipal Services in Adilabad.
                    ","Paid INR 1,000
                        ","Municipal Services","Birth Certificate","226 views","Adilabad
                      , Telangana","October 16, 2015",30
"301","
                      I Paid Rs. 5 to Municipal Services in Kolkata.
                    ","Paid INR 5
                        ","Municipal Services","Birth Certificate","186 views","Kolkata
                      , West Bengal","October 16, 2015",31
"302","
                      Was asked to Pay a Bribe of 500 for Police Verifiaction
                    ","Paid INR 500
                        ","Police","Police Verification for Passport","281 views","Howrah
                      , West Bengal","October 15, 2015",31
"303","
                      I paid bribe to get approval of plan to build house
                    ","Paid INR 1,00,000
                        ","Municipal Services","Registration of Land","257 views","Kolkata
                      , West Bengal","October 15, 2015",31
"304","
                      I Paid Rs. 100 to Municipal Services in Kota.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","243 views","Kota
                      , Rajasthan","October 15, 2015",31
"305","
                      New connection request - paid INR 5300 receipt only for ~ INR 4800
                    ","Paid INR 500
                        ","Food, Civil Supplies and Consumer Affairs","New Gas Connection","314 views","Bangalore
                      , Karnataka","October 15, 2015",31
"306","
                      I Paid Rs. 5 to Commercial Tax, Sales Tax, VAT in Mumbai.
                    ","Paid INR 5
                        ","Commercial Tax, Sales Tax, VAT","C Form","242 views","Mumbai
                      , Maharashtra","October 15, 2015",31
"307","
                      I have Piad bride in RTO Office
                    ","Paid INR 2,000
                        ","Transport","General RTO related","392 views","Bangalore
                      , Karnataka","October 15, 2015",31
"308","
                      I Paid Rs. 300 to Municipal Services in Abhayapuri.
                    ","Paid INR 300
                        ","Municipal Services","Birth Certificate","242 views","Abhayapuri
                      , Assam","October 14, 2015",31
"309","
                      Paid bribe for Police clearance
                    ","Paid INR 2,500
                        ","Passport","Police Verification for Passport","441 views","Pune
                      , Maharashtra","October 14, 2015",31
"310","
                      I Paid Rs. 20 to Police in Kurnool.
                    ","Paid INR 20
                        ","Police","Traffic Violations","282 views","Kurnool
                      , Andhra Pradesh","October 14, 2015",31
"311","
                      I Paid Rs. 20 to Municipal Services in Siliguri.
                    ","Paid INR 20
                        ","Municipal Services","Birth Certificate","248 views","Siliguri
                      , West Bengal","October 14, 2015",32
"312","
                      I Paid Rs. 10 to Customs, Excise and Service Tax in Pithoragarh.
                    ","Paid INR 10
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","265 views","Pithoragarh
                      , Uttarakhand","October 14, 2015",32
"313","
                      I Paid Rs. 20000 to Stamps and Registration in Tumkur.
                    ","Paid INR 20,000
                        ","Stamps and Registration","Marriage Certificate","360 views","Tumkur
                      , Karnataka","October 14, 2015",32
"314","
                      I Paid Rs. 10 to Municipal Services in Hubli.
                    ","Paid INR 10
                        ","Municipal Services","Birth Certificate","209 views","Hubli
                      , Karnataka","October 14, 2015",32
"315","
                      I Paid Rs. 2000 to Transport in Jalandhar.
                    ","Paid INR 2,000
                        ","Transport","New Domestic Driving License","291 views","Jalandhar
                      , Punjab","October 14, 2015",32
"316","
                      I Paid Rs. 6000 to Municipal Services in Abohar.
                    ","Paid INR 6,000
                        ","Municipal Services","Birth Certificate","230 views","Abohar
                      , Punjab","October 14, 2015",32
"317","
                      I Paid Rs. 11 to Municipal Services in Kota.
                    ","Paid INR 11
                        ","Municipal Services","Birth Certificate","197 views","Kota
                      , Rajasthan","October 14, 2015",32
"318","
                      I Paid Rs. 200 to Food, Civil Supplies and Consumer Affairs in Banda.
                    ","Paid INR 200
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","228 views","Banda
                      , Uttar Pradesh","October 14, 2015",32
"319","
                      I Paid Rs. 123 to Others in Bharatpur.
                    ","Paid INR 123
                        ","Others","Others","191 views","Bharatpur
                      , Rajasthan","October 14, 2015",32
"320","
                      I Paid Rs. 10 to Food, Civil Supplies and Consumer Affairs in Salem.
                    ","Paid INR 10
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","169 views","Salem
                      , Tamil Nadu","October 14, 2015",32
"321","
                      I Paid Rs. 500 to Municipal Services in Nagaon.
                    ","Paid INR 500
                        ","Municipal Services","Birth Certificate","143 views","Nagaon
                      , Assam","October 14, 2015",33
"322","
                      I Paid Rs. 200 to Police in Nainital.
                    ","Paid INR 200
                        ","Police","Traffic Violations","175 views","Nainital
                      , Uttarakhand","October 14, 2015",33
"323","
                      I Paid Rs. 5000 to Transport in Adilabad.
                    ","Paid INR 5,000
                        ","Transport","Duplicate Registration Certificate","181 views","Adilabad
                      , Telangana","October 14, 2015",33
"324","
                      I Paid Rs. 10 to Municipal Services in Abhayapuri.
                    ","Paid INR 10
                        ","Municipal Services","Birth Certificate","129 views","Abhayapuri
                      , Assam","October 14, 2015",33
"325","
                      I Paid Rs. 250000 to Municipal Services in Baran.
                    ","Paid INR 2,50,000
                        ","Municipal Services","Birth Certificate","74 views","Baran
                      , Rajasthan","October 14, 2015",33
"326","
                      I Paid Rs. 30000 to Municipal Services in Bangalore.
                    ","Paid INR 30,000
                        ","Municipal Services","Birth Certificate","158 views","Bangalore
                      , Karnataka","October 14, 2015",33
"327","
                      I Paid Rs. 3000 to Others in Bijnaur.
                    ","Paid INR 3,000
                        ","Others","Others","136 views","Bijnaur
                      , Uttar Pradesh","October 14, 2015",33
"328","
                      I Paid Rs. 100 to Others in Bilaspur.
                    ","Paid INR 100
                        ","Others","Others","140 views","Bilaspur
                      , Chhattisgarh","October 14, 2015",33
"329","
                      I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Ghaziabad.
                    ","Paid INR 10
                        ","Commercial Tax, Sales Tax, VAT","C Form","139 views","Ghaziabad
                      , Uttar Pradesh","October 14, 2015",33
"330","
                      I Paid Rs. 70000 to Municipal Services in Bagaha.
                    ","Paid INR 70,000
                        ","Municipal Services","Birth Certificate","92 views","Bagaha
                      , Bihar","October 14, 2015",33
"331","
                      I Paid Rs. 500 to Municipal Services in Abohar.
                    ","Paid INR 500
                        ","Municipal Services","Birth Certificate","148 views","Abohar
                      , Punjab","October 14, 2015",34
"332","
                      I Paid Rs. 10 to Municipal Services in Varanasi.
                    ","Paid INR 10
                        ","Municipal Services","Birth Certificate","125 views","Varanasi
                      , Uttar Pradesh","October 14, 2015",34
"333","
                      Police verification for Passport
                    ","Paid INR 500
                        ","Public Works Department","Public Works","220 views","Bangalore
                      , Karnataka","October 13, 2015",34
"334","
                      I Paid Rs. 5000 to Police in Bangalore.
                    ","Paid INR 5,000
                        ","Police","Traffic Violations","249 views","Bangalore
                      , Karnataka","October 13, 2015",34
"335","
                      I Paid Rs. 20 to Municipal Services in Chennai.
                    ","Paid INR 20
                        ","Municipal Services","Birth Certificate","221 views","Chennai
                      , Tamil Nadu","October 13, 2015",34
"336","
                      I Paid Rs. 9999 to Customs, Excise and Service Tax in Abhayapuri.
                    ","Paid INR 9,999
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","237 views","Abhayapuri
                      , Assam","October 13, 2015",34
"337","
                      I Paid Rs. 10 to Municipal Services in Hyderabad.
                    ","Paid INR 10
                        ","Municipal Services","Birth Certificate","214 views","Hyderabad
                      , Telangana","October 13, 2015",34
"338","
                      I Paid Rs. 555 to Municipal Services in Achhnera.
                    ","Paid INR 555
                        ","Municipal Services","Birth Certificate","232 views","Achhnera
                      , Uttar Pradesh","October 13, 2015",34
"339","
                      I Paid Rs. 20000 to Municipal Services in Abhayapuri.
                    ","Paid INR 20,000
                        ","Municipal Services","Birth Certificate","196 views","Abhayapuri
                      , Assam","October 13, 2015",34
"340","
                      I Paid Rs. 12 to Municipal Services in Adilabad.
                    ","Paid INR 12
                        ","Municipal Services","Birth Certificate","198 views","Adilabad
                      , Telangana","October 13, 2015",34
"341","
                      I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in New Delhi.
                    ","Paid INR 10
                        ","Commercial Tax, Sales Tax, VAT","C Form","227 views","New Delhi
                      , Delhi","October 13, 2015",35
"342","
                      I Paid Rs. 22222 to Stamps and Registration in Bangalore.
                    ","Paid INR 22,222
                        ","Stamps and Registration","Registration of Property","292 views","Bangalore
                      , Karnataka","October 13, 2015",35
"343","
                      I Paid Rs. 10 to Income Tax in Chandigarh.
                    ","Paid INR 10
                        ","Income Tax","New PAN Card","196 views","Chandigarh
                      , Chandigarh","October 13, 2015",35
"344","
                      I Paid Rs. 565 to Stamps and Registration in Alipurduar.
                    ","Paid INR 565
                        ","Stamps and Registration","Registration of Property","228 views","Alipurduar
                      , West Bengal","October 13, 2015",35
"345","
                      I Paid Rs. 30 to Municipal Services in Abohar.
                    ","Paid INR 30
                        ","Municipal Services","Birth Certificate","155 views","Abohar
                      , Punjab","October 13, 2015",35
"346","
                      I Paid Rs. 10000 to Others in Guntur.
                    ","Paid INR 10,000
                        ","Others","Others","171 views","Guntur
                      , Andhra Pradesh","October 13, 2015",35
"347","
                      I Paid Rs. 10000 to Municipal Services in Srivilliputhur.
                    ","Paid INR 10,000
                        ","Municipal Services","Birth Certificate","149 views","Srivilliputhur
                      , Tamil Nadu","October 13, 2015",35
"348","
                      I Paid Rs. 100 to Municipal Services in Chennai.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","122 views","Chennai
                      , Tamil Nadu","October 13, 2015",35
"349","
                      I Paid Rs. 1000 to Others in New Delhi.
                    ","Paid INR 1,000
                        ","Others","Others","194 views","New Delhi
                      , Delhi","October 13, 2015",35
"350","
                      I Paid Rs. 1000 to Others in Lucknow.
                    ","Paid INR 1,000
                        ","Others","Others","172 views","Lucknow
                      , Uttar Pradesh","October 13, 2015",35
"351","
                      I Paid Rs. 20 to Police in Abhayapuri.
                    ","Paid INR 20
                        ","Police","Traffic Violations","168 views","Abhayapuri
                      , Assam","October 13, 2015",36
"352","
                      I Paid Rs. 3000 to Police in Bangalore.
                    ","Paid INR 3,000
                        ","Police","Filing FIR","231 views","Bangalore
                      , Karnataka","October 13, 2015",36
"353","
                      I Paid Rs. 50 to Others in Raipur.
                    ","Paid INR 50
                        ","Others","Others","177 views","Raipur
                      , Chhattisgarh","October 13, 2015",36
"354","
                      I Paid Rs. 100 to Municipal Services in Abhayapuri.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","176 views","Abhayapuri
                      , Assam","October 13, 2015",36
"355","
                      I Paid Rs. 100 to Municipal Services in New Delhi.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","86 views","New Delhi
                      , Delhi","October 13, 2015",36
"356","
                      I Paid Rs. 1000 to Others in Coimbatore.
                    ","Paid INR 1,000
                        ","Others","Others","114 views","Coimbatore
                      , Tamil Nadu","October 13, 2015",36
"357","
                      I Paid Rs. 12 to Commercial Tax, Sales Tax, VAT in Hathras.
                    ","Paid INR 12
                        ","Commercial Tax, Sales Tax, VAT","C Form","126 views","Hathras
                      , Uttar Pradesh","October 13, 2015",36
"358","
                      I Paid Rs. 800 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 800
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","213 views","Bangalore
                      , Karnataka","October 13, 2015",36
"359","
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Calicut.
                    ","Paid INR 500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","140 views","Calicut
                      , Kerala","October 13, 2015",36
"360","
                      I Paid Rs. 210 to Income Tax in Banka.
                    ","Paid INR 210
                        ","Income Tax","New PAN Card","147 views","Banka
                      , Bihar","October 13, 2015",36
"361","
                      I Paid Rs. 400 to Police in New Delhi.
                    ","Paid INR 400
                        ","Police","Police Verification for Passport","147 views","New Delhi
                      , Delhi","October 13, 2015",37
"362","
                      I Paid Rs. 100 to Others in Kolhapur.
                    ","Paid INR 100
                        ","Others","Others","100 views","Kolhapur
                      , Maharashtra","October 13, 2015",37
"363","
                      I Paid Rs. 1000 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Paid INR 1,000
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","148 views","Bangalore
                      , Karnataka","October 13, 2015",37
"364","
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","161 views","Bangalore
                      , Karnataka","October 13, 2015",37
"365","
                      I Paid Rs. 400 to Stamps and Registration in New Delhi.
                    ","Paid INR 400
                        ","Stamps and Registration","Marriage Certificate","167 views","New Delhi
                      , Delhi","October 13, 2015",37
"366","
                      I Paid Rs. 2000 to Municipal Services in Hyderabad.
                    ","Paid INR 2,000
                        ","Municipal Services","Birth Certificate","107 views","Hyderabad
                      , Telangana","October 13, 2015",37
"367","
                      I Paid Rs. 200 to Police in New Delhi.
                    ","Paid INR 200
                        ","Police","Traffic Violations","151 views","New Delhi
                      , Delhi","October 13, 2015",37
"368","
                      I Paid Rs. 500 to Police in New Delhi.
                    ","Paid INR 500
                        ","Police","Police Verification for Passport","139 views","New Delhi
                      , Delhi","October 13, 2015",37
"369","
                      I Paid Rs. 500 to Police in New Delhi.
                    ","Paid INR 500
                        ","Police","Police Verification for Passport","94 views","New Delhi
                      , Delhi","October 13, 2015",37
"370","
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Paid INR 500
                        ","Transport","Duplicate Registration Certificate","191 views","Bangalore
                      , Karnataka","October 13, 2015",37
"371","
                      I Paid Rs. 1500 to Customs, Excise and Service Tax in New Delhi.
                    ","Paid INR 1,500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","155 views","New Delhi
                      , Delhi","October 13, 2015",38
"372","
                      I Paid Rs. 500 to Police in Bangalore.
                    ","Paid INR 500
                        ","Police","Filing FIR","111 views","Bangalore
                      , Karnataka","October 13, 2015",38
"373","
                      I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in Aizawl.
                    ","Paid INR 1,000
                        ","Commercial Tax, Sales Tax, VAT","C Form","130 views","Aizawl
                      , Mizoram","October 13, 2015",38
"374","
                      I Paid Rs. 15000 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 15,000
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","155 views","Bangalore
                      , Karnataka","October 13, 2015",38
"375","
                      I Paid Rs. 77 to Police in Adoni.
                    ","Paid INR 77
                        ","Police","Traffic Violations","93 views","Adoni
                      , Andhra Pradesh","October 13, 2015",38
"376","
                      I Paid Rs. 100000 to Stamps and Registration in Bangalore.
                    ","Paid INR 1,00,000
                        ","Stamps and Registration","Registration of Property","187 views","Bangalore
                      , Karnataka","October 13, 2015",38
"377","
                      I Paid Rs. 500 to Municipal Services in Bangalore.
                    ","Paid INR 500
                        ","Municipal Services","Birth Certificate","82 views","Bangalore
                      , Karnataka","October 13, 2015",38
"378","
                      I Paid Rs. 600 to Transport in Bangalore.
                    ","Paid INR 600
                        ","Transport","Duplicate Registration Certificate","167 views","Bangalore
                      , Karnataka","October 13, 2015",38
"379","
                      I Paid Rs. 800 to Transport in Bangalore.
                    ","Paid INR 800
                        ","Transport","Duplicate Registration Certificate","156 views","Bangalore
                      , Karnataka","October 13, 2015",38
"380","
                      I Paid Rs. 500 to Municipal Services in Jaipur.
                    ","Paid INR 500
                        ","Municipal Services","Birth Certificate","160 views","Jaipur
                      , Rajasthan","October 13, 2015",38
"381","
                      I Paid Rs. 700 to Police in Pune.
                    ","Paid INR 700
                        ","Police","Traffic Violations","171 views","Pune
                      , Maharashtra","October 12, 2015",39
"382","
                      I Paid Rs. 500 to Stamps and Registration in Guwahati.
                    ","Paid INR 500
                        ","Stamps and Registration","Marriage Certificate","196 views","Guwahati
                      , Assam","October 12, 2015",39
"383","
                      I Paid Rs. 500 to Police in New Delhi.
                    ","Paid INR 500
                        ","Police","Police Verification for Passport","155 views","New Delhi
                      , Delhi","October 12, 2015",39
"384","
                      I Paid Rs. 600 to Transport in New Delhi.
                    ","Paid INR 600
                        ","Transport","New Domestic Driving License","186 views","New Delhi
                      , Delhi","October 12, 2015",39
"385","
                      I Paid Rs. 1500 to Customs, Excise and Service Tax in New Delhi.
                    ","Paid INR 1,500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","171 views","New Delhi
                      , Delhi","October 12, 2015",39
"386","
                      I Paid Rs. 500 to Transport in New Delhi.
                    ","Paid INR 500
                        ","Transport","New Domestic Driving License","203 views","New Delhi
                      , Delhi","October 12, 2015",39
"387","
                      I Paid Rs. 1000 to Customs, Excise and Service Tax in New Delhi.
                    ","Paid INR 1,000
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","154 views","New Delhi
                      , Delhi","October 12, 2015",39
