"","hotel","rating","price","distance","page","star","ctry"
"1444","Timhotel Place d'Italie - Butte aux Cailles","
                
                73 / 100
                Vurdering
                                2052 Anmeldelser
            ","
        â€Ž783 kr
    ","
                3,5 km til Centrum
 ",7,2,6
"1445","De la Loire","
                
                73 / 100
                Vurdering
                                486 Anmeldelser
            ","
        â€Ž729 kr
    ","
                3,5 km til Centrum
 ",7,2,6
"1446","Reims","
                
                71 / 100
                Vurdering
                                922 Anmeldelser
            ","
        â€Ž783 kr
    ","
                3,5 km til Centrum
 ",7,2,6
"1447","Comfort Lamarck Paris 18","
                
                73 / 100
                Vurdering
                                1679 Anmeldelser
            ","
        â€Ž744 kr
    ","
                3,5 km til Centrum
 ",7,2,6
"1448","Max","
                
                86 / 100
                Vurdering
                                1007 Anmeldelser
            ","
        â€Ž1.027 kr
    ","
                3,6 km til Centrum
 ",7,2,6
"1449","de Venise","
                
                79 / 100
                Vurdering
                                1983 Anmeldelser
            ","
        â€Ž702 kr
    ","
                3,6 km til Centrum
 ",7,2,6
"1450","Amiral Fondary","
                
                74 / 100
                Vurdering
                                509 Anmeldelser
            ","
        â€Ž726 kr
    ","
                3,6 km til Centrum
 ",7,2,6
"1451","Prince Albert Monceau","
                
                61 / 100
                Vurdering
                                463 Anmeldelser
            ","
        â€Ž1.417 kr
    ","
                3,6 km til Centrum
 ",7,2,6
"1452","Leonard de Vinci 2","
                
                54 / 100
                Vurdering
                                307 Anmeldelser
            ","
        â€Ž709 kr
    ","
                3,6 km til Centrum
 ",7,2,6
"1453","MÃ©ridional","
                
                74 / 100
                Vurdering
                                1071 Anmeldelser
            ","
        â€Ž627 kr
    ","
                3,6 km til Centrum
 ",7,2,6
"1454","Abricotel","
                
                72 / 100
                Vurdering
                                772 Anmeldelser
            ","
        â€Ž562 kr
    ","
                3,6 km til Centrum
 ",7,2,6
"1455","Paris Legendre","
                
                68 / 100
                Vurdering
                                893 Anmeldelser
            ","
        â€Ž604 kr
    ","
                3,6 km til Centrum
 ",7,2,6
"1456","Le Myosotis","
                
                77 / 100
                Vurdering
                                976 Anmeldelser
            ","
        â€Ž821 kr
    ","
                3,7 km til Centrum
 ",8,2,6
"1457","Cosy Monceau","
                
                69 / 100
                Vurdering
                                438 Anmeldelser
            ","
        â€Ž705 kr
    ","
                3,7 km til Centrum
 ",8,2,6
"1458","Eiffel XV","
                
                76 / 100
                Vurdering
                                2623 Anmeldelser
            ","
        â€Ž932 kr
    ","
                3,7 km til Centrum
 ",8,2,6
"1459","ElysÃ©e Etoile","
                
                76 / 100
                Vurdering
                                403 Anmeldelser
            ","
        â€Ž1.007 kr
    ","
                3,7 km til Centrum
 ",8,2,6
"1460","Eden Montmartre","
                
                80 / 100
                Vurdering
                                1847 Anmeldelser
            ","
        â€Ž3.644 kr
    ","
                3,7 km til Centrum
 ",8,2,6
"1461","Troyon","
                
                75 / 100
                Vurdering
                                739 Anmeldelser
            ","
        â€Ž1.119 kr
    ","
                3,7 km til Centrum
 ",8,2,6
"1462","De l'Europe","
                
                64 / 100
                Vurdering
                                1065 Anmeldelser
            ","
        â€Ž571 kr
    ","
                3,8 km til Centrum
 ",8,2,6
"1463","Amadeus","
                
                70 / 100
                Vurdering
                                1395 Anmeldelser
            ","
        â€Ž932 kr
    ","
                3,8 km til Centrum
 ",8,2,6
"1464","ibis Paris AlÃ©sia Montparnasse 14Ã¨me","
                
                72 / 100
                Vurdering
                                1856 Anmeldelser
            ","
        â€Ž465 kr
    ","
                3,8 km til Centrum
 ",8,2,6
"1465","Campanile Paris XV Tour Eiffel","
                
                71 / 100
                Vurdering
                                2700 Anmeldelser
            ","
        â€Ž818 kr
    ","
                3,9 km til Centrum
 ",8,2,6
"1466","Choisy","
                
                64 / 100
                Vurdering
                                1074 Anmeldelser
            ","
        â€Ž559 kr
    ","
                3,9 km til Centrum
 ",8,2,6
"1467","Residence Chatillon","
                
                59 / 100
                Vurdering
                                588 Anmeldelser
            ","
        â€Ž597 kr
    ","
                3,9 km til Centrum
 ",8,2,6
"1468","Hipotel Paris Buttes-Chaumont","
                
                62 / 100
                Vurdering
                                929 Anmeldelser
            ","
        â€Ž881 kr
    ","
                3,9 km til Centrum
 ",8,2,6
"1469","Angleterre Etoile","
                
                72 / 100
                Vurdering
                                786 Anmeldelser
            ","
        â€Ž772 kr
    ","
                3,9 km til Centrum
 ",8,2,6
"1470","HÃ´tel de l'Exposition - Tour Eiffel","
                
                82 / 100
                Vurdering
                                1499 Anmeldelser
            ","
        â€Ž1.108 kr
    ","
                4,0 km til Centrum
 ",8,2,6
"1471","Home Moderne","
                
                85 / 100
                Vurdering
                                3000 Anmeldelser
            ","
        â€Ž732 kr
    ","
                4,0 km til Centrum
 ",8,2,6
"1472","Parc-HÃ´tel Paris","
                
                71 / 100
                Vurdering
                                907 Anmeldelser
            ","
        â€Ž679 kr
    ","
                4,0 km til Centrum
 ",8,2,6
"1473","Cecil","
                
                68 / 100
                Vurdering
                                1018 Anmeldelser
            ","
        â€Ž515 kr
    ","
                4,0 km til Centrum
 ",8,2,6
"1474","Montsouris OrlÃ©ans","
                
                77 / 100
                Vurdering
                                726 Anmeldelser
            ","
        â€Ž709 kr
    ","
                4,0 km til Centrum
 ",8,2,6
"1475","Tingis - ex De Bourgogne","
                
                59 / 100
                Vurdering
                                1064 Anmeldelser
            ","
        â€Ž962 kr
    ","
                4,0 km til Centrum
 ",8,2,6
"1476","Hotel Korner Eiffel","
                
                72 / 100
                Vurdering
                                1556 Anmeldelser
            ","
        â€Ž920 kr
    ","
                4,0 km til Centrum
 ",8,2,6
"1477","Floridor Etoile","
                
                70 / 100
                Vurdering
                                700 Anmeldelser
            ","
        â€Ž1.559 kr
    ","
                4,0 km til Centrum
 ",8,2,6
"1478","Des Pavillons","
                
                77 / 100
                Vurdering
                                560 Anmeldelser
            ","
        â€Ž850 kr
    ","
                4,0 km til Centrum
 ",8,2,6
"1479","Marmotel","
                
                77 / 100
                Vurdering
                                365 Anmeldelser
            ","
        â€Ž858 kr
    ","
                4,1 km til Centrum
 ",8,2,6
"1480","Terminus OrlÃ©ans","
                
                83 / 100
                Vurdering
                                2312 Anmeldelser
            ","
        â€Ž589 kr
    ","
                4,1 km til Centrum
 ",8,2,6
"1481","Camelia Prestige","
                
                68 / 100
                Vurdering
                                1699 Anmeldelser
            ","
        â€Ž522 kr
    ","
                4,2 km til Centrum
 ",9,2,6
"1482","ibis Paris Brancion Parc des Expositions 15Ã¨me","
                
                79 / 100
                Vurdering
                                965 Anmeldelser
            ","
        â€Ž681 kr
    ","
                4,2 km til Centrum
 ",9,2,6
"1483","Printania Porte de Versailles","
                
                51 / 100
                Vurdering
                                1034 Anmeldelser
            ","
        â€Ž652 kr
    ","
                4,3 km til Centrum
 ",9,2,6
"1484","Nicolo","
                
                88 / 100
                Vurdering
                                1082 Anmeldelser
            ","
        â€Ž955 kr
    ","
                4,3 km til Centrum
 ",9,2,6
"1485","LutÃ¨ce","
                
                77 / 100
                Vurdering
                                298 Anmeldelser
            ","
        â€Ž895 kr
    ","
                4,3 km til Centrum
 ",9,2,6
"1486","Pink HÃ´tel","
                
                77 / 100
                Vurdering
                                1134 Anmeldelser
            ","
        â€Ž1.111 kr
    ","
                4,4 km til Centrum
 ",9,2,6
"1487","Le Hameau de Passy","
                
                77 / 100
                Vurdering
                                1306 Anmeldelser
            ","
        â€Ž1.305 kr
    ","
                4,4 km til Centrum
 ",9,2,6
"1488","Nouvel Hotel","
                
                82 / 100
                Vurdering
                                97 Anmeldelser
            ","
        â€Ž895 kr
    ","
                4,5 km til Centrum
 ",9,2,6
"1489","Le Quartier Bercy - Square","
                
                76 / 100
                Vurdering
                                1046 Anmeldelser
            ","
        â€Ž591 kr
    ","
                4,5 km til Centrum
 ",9,2,6
"1490","Paris Villette","
                
                72 / 100
                Vurdering
                                1401 Anmeldelser
            ","
        â€Ž674 kr
    ","
                4,5 km til Centrum
 ",9,2,6
"1491","Clarisse","
                
                73 / 100
                Vurdering
                                976 Anmeldelser
            ","
        â€Ž1.186 kr
    ","
                4,6 km til Centrum
 ",9,2,6
"1492","ibis Paris Bercy Village 12Ã¨me","
                
                80 / 100
                Vurdering
                                2208 Anmeldelser
            ","
        â€Ž828 kr
    ","
                4,6 km til Centrum
 ",9,2,6
"1493","ibis budget Paris Porte de Montmartre","
                
                62 / 100
                Vurdering
                                5476 Anmeldelser
            ","
        â€Ž337 kr
    ","
                4,7 km til Centrum
 ",9,2,6
"1494","B&B Hotel Paris Malakoff Parc des Expositions","
                
                73 / 100
                Vurdering
                                820 Anmeldelser
            ","
        â€Ž507 kr
    ","
                4,8 km til Paris
 ",9,2,6
"1495","du Printemps","
                
                85 / 100
                Vurdering
                                1552 Anmeldelser
            ","
        â€Ž851 kr
    ","
                4,8 km til Centrum
 ",9,2,6
"1496","Hipotel Paris Belgrand","
                
                67 / 100
                Vurdering
                                1276 Anmeldelser
            ","
        â€Ž784 kr
    ","
                4,9 km til Centrum
 ",9,2,6
"1497","ibis budget Paris Porte de Vanves","
                
                76 / 100
                Vurdering
                                630 Anmeldelser
            ","
        â€Ž431 kr
    ","
                4,9 km til Paris
 ",9,2,6
"1498","De Paris","
                
                71 / 100
                Vurdering
                                1208 Anmeldelser
            ","
        â€Ž873 kr
    ","
                4,9 km til Centrum
 ",9,2,6
"1499","ibis budget Paris Porte de la Chapelle","
                
                67 / 100
                Vurdering
                                2665 Anmeldelser
            ","
        â€Ž458 kr
    ","
                4,9 km til Centrum
 ",9,2,6
"1500","Patio Brancion","
                
                74 / 100
                Vurdering
                                683 Anmeldelser
            ","
        â€Ž542 kr
    ","
                5,0 km til Paris
 ",9,2,6
"1501","De La Place","
                
                73 / 100
                Vurdering
                                498 Anmeldelser
            ","
        â€Ž582 kr
    ","
                5,0 km til Paris
 ",9,2,6
"1502","Lilas Gambetta","
                
                72 / 100
                Vurdering
                                413 Anmeldelser
            ","
        â€Ž686 kr
    ","
                5,1 km til Centrum
 ",9,2,6
"1503","Le Twelve","
                
                69 / 100
                Vurdering
                                1708 Anmeldelser
            ","
        â€Ž737 kr
    ","
                5,1 km til Centrum
 ",9,2,6
"1504","Tamaris","
                
                65 / 100
                Vurdering
                                1385 Anmeldelser
            ","
        â€Ž690 kr
    ","
                5,1 km til Centrum
 ",9,2,6
"1505","Armstrong","
                
                72 / 100
                Vurdering
                                2919 Anmeldelser
            ","
        â€Ž1.119 kr
    ","
                5,1 km til Centrum
 ",9,2,6
"1506","Charma","
                
                67 / 100
                Vurdering
                                989 Anmeldelser
            ","
        â€Ž1.194 kr
    ","
                5,1 km til Centrum
 ",10,2,6
"1507","Hipotel Paris Nation","
                
                54 / 100
                Vurdering
                                1792 Anmeldelser
            ","
        â€Ž780 kr
    ","
                5,2 km til Centrum
 ",10,2,6
"1508","Hipotels Paris Printania","
                
                52 / 100
                Vurdering
                                2299 Anmeldelser
            ","
        â€Ž597 kr
    ","
                5,2 km til Centrum
 ",10,2,6
"1509","D'Anjou","
                
                66 / 100
                Vurdering
                                1663 Anmeldelser
            ","
        â€Ž487 kr
    ","
                5,2 km til Paris
 ",10,2,6
"1510","CafÃ©  de L'Avenir","
                
                85 / 100
                Vurdering
                                1182 Anmeldelser
            ","
        â€Ž515 kr
    ","
                5,2 km til Paris
 ",10,2,6
"1511","Campanile - Paris - Levallois-Perret","
                
                71 / 100
                Vurdering
                                1211 Anmeldelser
            ","
        â€Ž501 kr
    ","
                5,4 km til Paris
 ",10,2,6
"1512","Abc Champerret","
                
                73 / 100
                Vurdering
                                976 Anmeldelser
            ","
        â€Ž448 kr
    ","
                5,4 km til Paris
 ",10,2,6
"1513","B&B Hotel Paris Porte des Lilas","
                
                77 / 100
                Vurdering
                                1558 Anmeldelser
            ","
        â€Ž559 kr
    ","
                5,5 km til Centrum
 ",10,2,6
"1514","ibis budget Paris Porte de Vincennes","
                
                72 / 100
                Vurdering
                                3121 Anmeldelser
            ","
        â€Ž517 kr
    ","
                5,7 km til Centrum
 ",10,2,6
"1515","Mister Bed City Bagnolet","
                
                64 / 100
                Vurdering
                                2752 Anmeldelser
            ","
        â€Ž528 kr
    ","
                5,8 km til Paris
 ",10,2,6
"1516","Le Ruisseau","
                
                80 / 100
                Vurdering
                                360 Anmeldelser
            ","
        â€Ž686 kr
    ","
                5,8 km til Paris
 ",10,2,6
"1517","B&B Hotel Paris Porte de la Villette","
                
                68 / 100
                Vurdering
                                146 Anmeldelser
            ","
        â€Ž589 kr
    ","
                5,9 km til Centrum
 ",10,2,6
"1518","Exelmans","
                
                63 / 100
                Vurdering
                                1558 Anmeldelser
            ","
        â€Ž463 kr
    ","
                6,0 km til Centrum
 ",10,2,6
"1519","Gabriel","
                
                73 / 100
                Vurdering
                                1244 Anmeldelser
            ","
        â€Ž630 kr
    ","
                6,0 km til Paris
 ",10,2,6
"1520","Trianon","
                
                57 / 100
                Vurdering
                                313 Anmeldelser
            ","
        â€Ž634 kr
    ","
                6,1 km til Paris
 ",10,2,6
"1521","Victor Hugo","
                
                71 / 100
                Vurdering
                                82 Anmeldelser
            ","
        â€Ž599 kr
    ","
                6,3 km til Paris
 ",10,2,6
"1522","De la Mairie","
                
                75 / 100
                Vurdering
                                42 Anmeldelser
            ","
        â€Ž598 kr
    ","
                6,3 km til Paris
 ",10,2,6
"1523","B&B HÃ´tel Paris Saint-Denis Pleyel","
                
                74 / 100
                Vurdering
                                883 Anmeldelser
            ","
        â€Ž440 kr
    ","
                7,0 km til Paris
 ",10,2,6
"1524","Sovereign Saint Ouen","
                
                61 / 100
                Vurdering
                                181 Anmeldelser
            ","
        â€Ž595 kr
    ","
                7,0 km til Paris
 ",10,2,6
"1525","Le Home","
                
                81 / 100
                Vurdering
                                200 Anmeldelser
            ","
        â€Ž634 kr
    ","
                7,0 km til Paris
 ",10,2,6
"1526","Acropolis Paris Boulogne","
                
                79 / 100
                Vurdering
                                429 Anmeldelser
            ","
        â€Ž842 kr
    ","
                7,1 km til Paris
 ",10,2,6
"1527","Les Jardins d'AsniÃ¨res","
                
                58 / 100
                Vurdering
                                95 Anmeldelser
            ","
        â€Ž436 kr
    ","
                7,1 km til Paris
 ",10,2,6
"1528","Du ChÃ¢teau","
                
                80 / 100
                Vurdering
                                516 Anmeldelser
            ","
        â€Ž738 kr
    ","
                7,2 km til Paris
 ",10,2,6
"1529","SÃ©jours & Affaires Paris-Vitry","
                
                77 / 100
                Vurdering
                                1418 Anmeldelser
            ","
        â€Ž365 kr
    ","
                7,3 km til Paris
 ",10,2,6
"1530","Olympic","
                
                78 / 100
                Vurdering
                                56 Anmeldelser
            ","
        â€Ž656 kr
    ","
                7,3 km til Paris
 ",10,2,6
"1531","Aparthotel Adagio Access Paris Asnieres","
                
                79 / 100
                Vurdering
                                1293 Anmeldelser
            ","
        â€Ž365 kr
    ","
                7,3 km til Paris
 ",11,2,6
"1532","Comfort Gennevilliers","
                
                64 / 100
                Vurdering
                                215 Anmeldelser
            ","
        â€Ž612 kr
    ","
                7,3 km til Paris
 ",11,2,6
"1533","ibis Paris Issy Les Moulineaux Val de Seine","
                
                74 / 100
                Vurdering
                                925 Anmeldelser
            ","
        â€Ž388 kr
    ","
                7,3 km til Paris
 ",11,2,6
"1534","Kyriad Paris Ouest Puteaux","
                
                78 / 100
                Vurdering
                                303 Anmeldelser
            ","
        â€Ž690 kr
    ","
                7,4 km til Paris
 ",11,2,6
"1535","Victor Hugo","
                
                63 / 100
                Vurdering
                                555 Anmeldelser
            ","
        â€Ž549 kr
    ","
                7,5 km til Paris
 ",11,2,6
"1536","De Paris","
                
                79 / 100
                Vurdering
                                201 Anmeldelser
            ","
        â€Ž589 kr
    ","
                7,5 km til Paris
 ",11,2,6
"1537","Le B Paris Boulogne","
                
                74 / 100
                Vurdering
                                1015 Anmeldelser
            ","
        â€Ž522 kr
    ","
                7,6 km til Paris
 ",11,2,6
"1538","Campanile - Paris - Boulogne","
                
                66 / 100
                Vurdering
                                1120 Anmeldelser
            ","
        â€Ž501 kr
    ","
                7,6 km til Paris
 ",11,2,6
"1539","Timhotel Boulogne Rives de Seine","
                
                68 / 100
                Vurdering
                                1338 Anmeldelser
            ","
        â€Ž440 kr
    ","
                7,7 km til Paris
 ",11,2,6
"1540","Terminus AsniÃ¨res","
                
                79 / 100
                Vurdering
                                342 Anmeldelser
            ","
        â€Ž537 kr
    ","
                7,7 km til Paris
 ",11,2,6
"1541","Comfort Hotel Bobigny Paris Est","
                
                67 / 100
                Vurdering
                                744 Anmeldelser
            ","
        â€Ž470 kr
    ","
                8,0 km til Paris
 ",11,2,6
"1542","Moderne","
                
                68 / 100
                Vurdering
                                130 Anmeldelser
            ","
        â€Ž574 kr
    ","
                8,1 km til Paris
 ",11,2,6
"1543","De France","
                
                80 / 100
                Vurdering
                                384 Anmeldelser
            ","
        â€Ž485 kr
    ","
                8,4 km til Paris
 ",11,2,6
"1544","Du Trosy","
                
                74 / 100
                Vurdering
                                835 Anmeldelser
            ","
        â€Ž365 kr
    ","
                8,5 km til Paris
 ",11,2,6
"1545","Euro Hotel Sovereign Saint-Denis","
                
                52 / 100
                Vurdering
                                1553 Anmeldelser
            ","
        â€Ž414 kr
    ","
                8,9 km til Paris
 ",11,2,6
"1546","Royal Colombes","
                
                63 / 100
                Vurdering
                                304 Anmeldelser
            ","
        â€Ž365 kr
    ","
                9,2 km til Paris
 ",11,2,6
"1547","ibis budget Orly Chevilly Tram 7","
                
                72 / 100
                Vurdering
                                1042 Anmeldelser
            ","
        â€Ž312 kr
    ","
                9,4 km til Centrum
 ",11,2,6
"1548","des Bains","
                
                75 / 100
                Vurdering
                                332 Anmeldelser
            ","
        â€Ž507 kr
    ","
                9,5 km til Paris
 ",11,2,6
"1549","B&B HÃ´tel Paris Le Bourget","
                
                74 / 100
                Vurdering
                                71 Anmeldelser
            ","
        â€Ž709 kr
    ","
                9,6 km til Paris
 ",11,2,6
"1550","Amandier","
                
                74 / 100
                Vurdering
                                625 Anmeldelser
            ","
        â€Ž582 kr
    ","
                10,0 km til Paris
 ",11,2,6
"1551","Tonic Hotel du Louvre","
                
                66 / 100
                Vurdering
                                2044 Anmeldelser
            ","
        â€Ž1.708 kr
    ","
                0,3 km til Centrum
 ",1,3,6
"1552","Timhotel Le Louvre","
                
                74 / 100
                Vurdering
                                2592 Anmeldelser
            ","
        â€Ž1.273 kr
    ","
                0,3 km til Centrum
 ",1,3,6
"1553","St HonorÃ©","
                
                78 / 100
                Vurdering
                                822 Anmeldelser
            ","
        â€Ž1.977 kr
    ","
                0,3 km til Centrum
 ",1,3,6
"1554","Grand HÃ´tel Dechampaigne","
                
                80 / 100
                Vurdering
                                2189 Anmeldelser
            ","
        â€Ž1.311 kr
    ","
                0,4 km til Centrum
 ",1,3,6
"1555","Louvre Bons Enfants","
                
                78 / 100
                Vurdering
                                1927 Anmeldelser
            ","
        â€Ž1.672 kr
    ","
                0,4 km til Centrum
 ",1,3,6
"1556","Louvre Rivoli","
                
                79 / 100
                Vurdering
                                1133 Anmeldelser
            ","
        â€Ž1.619 kr
    ","
                0,5 km til Centrum
 ",1,3,6
"1557","Crayon by Elegancia ","
                
                86 / 100
                Vurdering
                                1443 Anmeldelser
            ","
        â€Ž1.910 kr
    ","
                0,5 km til Centrum
 ",1,3,6
"1558","Dauphine Saint-Germain","
                
                85 / 100
                Vurdering
                                1657 Anmeldelser
            ","
        â€Ž1.947 kr
    ","
                0,5 km til Centrum
 ",1,3,6
"1559","Du Quai Voltaire","
                
                76 / 100
                Vurdering
                                1052 Anmeldelser
            ","
        â€Ž1.253 kr
    ","
                0,6 km til Centrum
 ",1,3,6
"1560","Millesime","
                
                85 / 100
                Vurdering
                                228 Anmeldelser
            ","
        â€Ž2.238 kr
    ","
                0,6 km til Centrum
 ",1,3,6
"1561","Crayon Rouge by Elegancia","
                
                89 / 100
                Vurdering
                                309 Anmeldelser
            ","
        â€Ž1.910 kr
    ","
                0,6 km til Centrum
 ",1,3,6
"1562","de Seine","
                
                82 / 100
                Vurdering
                                652 Anmeldelser
            ","
        â€Ž1.716 kr
    ","
                0,6 km til Centrum
 ",1,3,6
"1563","des Marronniers","
                
                81 / 100
                Vurdering
                                547 Anmeldelser
            ","
        â€Ž1.528 kr
    ","
                0,6 km til Centrum
 ",1,3,6
"1564","Le RÃ©gent","
                
                80 / 100
                Vurdering
                                394 Anmeldelser
            ","
        â€Ž1.529 kr
    ","
                0,6 km til Centrum
 ",1,3,6
"1565","Saint   Germain   Des   Pres","
                
                82 / 100
                Vurdering
                                1417 Anmeldelser
            ","
        â€Ž1.716 kr
    ","
                0,6 km til Centrum
 ",1,3,6
"1566","Odyssey by Elegancia","
                
                85 / 100
                Vurdering
                                1137 Anmeldelser
            ","
        â€Ž1.484 kr
    ","
                0,7 km til Centrum
 ",1,3,6
"1567","Best Western Louvre Piemont","
                
                77 / 100
                Vurdering
                                767 Anmeldelser
            ","
        â€Ž1.567 kr
    ","
                0,7 km til Centrum
 ",1,3,6
"1568","Hotel du Danube Saint Germain","
                
                79 / 100
                Vurdering
                                308 Anmeldelser
            ","
        â€Ž1.389 kr
    ","
                0,7 km til Centrum
 ",1,3,6
"1569","Best Western Grand HÃ´tel de L' Univers","
                
                81 / 100
                Vurdering
                                2155 Anmeldelser
            ","
        â€Ž1.455 kr
    ","
                0,7 km til Centrum
 ",1,3,6
"1570","Best Western Left Bank Saint Germain","
                
                85 / 100
                Vurdering
                                1540 Anmeldelser
            ","
        â€Ž2.052 kr
    ","
                0,7 km til Centrum
 ",1,3,6
"1571","Pavillon Louvre Rivoli","
                
                66 / 100
                Vurdering
                                942 Anmeldelser
            ","
        â€Ž1.274 kr
    ","
                0,7 km til Centrum
 ",1,3,6
"1572","EugÃ©nie","
                
                75 / 100
                Vurdering
                                1086 Anmeldelser
            ","
        â€Ž1.572 kr
    ","
                0,7 km til Centrum
 ",1,3,6
"1573","Crystal Saint Germain","
                
                76 / 100
                Vurdering
                                917 Anmeldelser
            ","
        â€Ž1.716 kr
    ","
                0,8 km til Centrum
 ",1,3,6
"1574","De l'UniversitÃ©","
                
                85 / 100
                Vurdering
                                1260 Anmeldelser
            ","
        â€Ž1.641 kr
    ","
                0,8 km til Centrum
 ",1,3,6
"1575","Timhotel Palais Royal-Louvre","
                
                76 / 100
                Vurdering
                                1825 Anmeldelser
            ","
        â€Ž1.007 kr
    ","
                0,8 km til Centrum
 ",1,3,6
"1576","Saint Merry","
                
                77 / 100
                Vurdering
                                661 Anmeldelser
            ","
        â€Ž1.343 kr
    ","
                0,8 km til Centrum
 ",2,3,6
"1577","De Fleurie","
                
                82 / 100
                Vurdering
                                1147 Anmeldelser
            ","
        â€Ž1.901 kr
    ","
                0,8 km til Centrum
 ",2,3,6
"1578","Academie Saint Germain","
                
                79 / 100
                Vurdering
                                1220 Anmeldelser
            ","
        â€Ž1.310 kr
    ","
                0,8 km til Centrum
 ",2,3,6
"1579","Louvre Richelieu","
                
                72 / 100
                Vurdering
                                411 Anmeldelser
            ","
        â€Ž1.335 kr
    ","
                0,8 km til Centrum
 ",2,3,6
"1580","Louvre Sainte Anne OpÃ©ra","
                
                85 / 100
                Vurdering
                                736 Anmeldelser
            ","
        â€Ž1.358 kr
    ","
                0,8 km til Centrum
 ",2,3,6
"1581","Hotel Europe Saint Severin","
                
                84 / 100
                Vurdering
                                2577 Anmeldelser
            ","
        â€Ž1.626 kr
    ","
                0,9 km til Centrum
 ",2,3,6
"1582","Tonic Hotel Saint-Germain","
                
                77 / 100
                Vurdering
                                420 Anmeldelser
            ","
        â€Ž1.484 kr
    ","
                0,9 km til Centrum
 ",2,3,6
"1583","Le Relais Saint HonorÃ©","
                
                88 / 100
                Vurdering
                                565 Anmeldelser
            ","
        â€Ž1.865 kr
    ","
                0,9 km til Centrum
 ",2,3,6
"1584","Best Western Paris Louvre OpÃ©ra","
                
                79 / 100
                Vurdering
                                1182 Anmeldelser
            ","
        â€Ž1.642 kr
    ","
                0,9 km til Centrum
 ",2,3,6
"1585","OdÃ©on","
                
                79 / 100
                Vurdering
                                642 Anmeldelser
            ","
        â€Ž1.604 kr
    ","
                0,9 km til Centrum
 ",2,3,6
"1586","du Lion d'Or Louvre","
                
                75 / 100
                Vurdering
                                717 Anmeldelser
            ","
        â€Ž1.686 kr
    ","
                0,9 km til Centrum
 ",2,3,6
"1587","Pas de Calais","
                
                86 / 100
                Vurdering
                                316 Anmeldelser
            ","
        â€Ž1.694 kr
    ","
                0,9 km til Centrum
 ",2,3,6
"1588","La Perle","
                
                87 / 100
                Vurdering
                                950 Anmeldelser
            ","
        â€Ž1.835 kr
    ","
                0,9 km til Centrum
 ",2,3,6
"1589","Cluny Square","
                
                79 / 100
                Vurdering
                                1768 Anmeldelser
            ","
        â€Ž1.570 kr
    ","
                0,9 km til Centrum
 ",2,3,6
"1590","Delavigne","
                
                81 / 100
                Vurdering
                                1299 Anmeldelser
            ","
        â€Ž1.797 kr
    ","
                1,0 km til Centrum
 ",2,3,6
"1591","Baudelaire Opera","
                
                76 / 100
                Vurdering
                                642 Anmeldelser
            ","
        â€Ž1.335 kr
    ","
                1,0 km til Centrum
 ",2,3,6
"1592","Duo","
                
                84 / 100
                Vurdering
                                1039 Anmeldelser
            ","
        â€Ž2.126 kr
    ","
                1,0 km til Centrum
 ",2,3,6
"1593","Ascot OpÃ©ra","
                
                71 / 100
                Vurdering
                                1121 Anmeldelser
            ","
        â€Ž1.451 kr
    ","
                1,0 km til Centrum
 ",2,3,6
"1594","Louvre Marsollier OpÃ©ra","
                
                78 / 100
                Vurdering
                                1273 Anmeldelser
            ","
        â€Ž1.126 kr
    ","
                1,0 km til Centrum
 ",2,3,6
"1595","Georgette","
                
                87 / 100
                Vurdering
                                1161 Anmeldelser
            ","
        â€Ž1.813 kr
    ","
                1,0 km til Centrum
 ",2,3,6
"1596","Central Saint Germain","
                
                77 / 100
                Vurdering
                                677 Anmeldelser
            ","
        â€Ž1.712 kr
    ","
                1,1 km til Centrum
 ",2,3,6
"1597","Best Western Gaillon OpÃ©ra","
                
                78 / 100
                Vurdering
                                616 Anmeldelser
            ","
        â€Ž1.567 kr
    ","
                1,1 km til Centrum
 ",2,3,6
"1598","Ile de France Opera","
                
                70 / 100
                Vurdering
                                354 Anmeldelser
            ","
        â€Ž1.451 kr
    ","
                1,1 km til Centrum
 ",2,3,6
"1599","Bac St Germain","
                
                70 / 100
                Vurdering
                                487 Anmeldelser
            ","
        â€Ž1.261 kr
    ","
                1,1 km til Centrum
 ",2,3,6
"1600","Fontaines du Luxembourg","
                
                79 / 100
                Vurdering
                                940 Anmeldelser
            ","
        â€Ž1.465 kr
    ","
                1,2 km til Centrum
 ",2,3,6
"1601","du Vieux Marais","
                
                72 / 100
                Vurdering
                                769 Anmeldelser
            ","
        â€Ž1.492 kr
    ","
                1,2 km til Centrum
 ",3,3,6
"1602","Best Western Jardin de Cluny","
                
                86 / 100
                Vurdering
                                1654 Anmeldelser
            ","
        â€Ž1.585 kr
    ","
                1,2 km til Centrum
 ",3,3,6
"1603","France d'Antin","
                
                81 / 100
                Vurdering
                                652 Anmeldelser
            ","
        â€Ž1.410 kr
    ","
                1,2 km til Centrum
 ",3,3,6
"1604","Cyrnos","
                
                77 / 100
                Vurdering
                                685 Anmeldelser
            ","
        â€Ž1.082 kr
    ","
                1,2 km til Centrum
 ",3,3,6
"1605","Choiseul OpÃ©ra","
                
                78 / 100
                Vurdering
                                2164 Anmeldelser
            ","
        â€Ž1.623 kr
    ","
                1,2 km til Centrum
 ",3,3,6
"1606","Du Continent","
                
                85 / 100
                Vurdering
                                1028 Anmeldelser
            ","
        â€Ž1.760 kr
    ","
                1,2 km til Centrum
 ",3,3,6
